 -----, ------, ------, -------, ------ 
Time, X, Y, Z, A 
0.0, 0.0, 0.0, 0.0, 0.0 
0.00299835, -3.227, 3.124, 0.129, 1001.62 
0.0419998, -3.038, 4.734, -0.013, 1001.8 
0.0800018, -2.971, 3.974, -0.432, 1001.76 
0.120998, -2.749, 3.392, -0.231, 1001.81 
0.157001, -3.053, 3.797, -0.147, 1001.73 
0.195999, -3.419, 5.111, -0.108, 1002.05 
0.237, -3.38, 3.459, -0.616, 1001.83 
0.275002, -3.696, 3.056, -0.087, 1001.98 
0.309002, -3.289, 4.402, -0.512, 1001.8 
0.348999, -3.521, 2.685, -0.19, 1001.89 
0.384998, -3.267, 3.47, -0.797, 1001.99 
0.418999, -3.662, 3.655, -0.553, 1001.95 
0.453999, -3.477, 3.148, -0.677, 1001.85 
0.487999, -3.686, 3.054, -0.051, 1001.93 
0.521999, -3.504, 3.551, -0.217, 1001.86 
0.556, -3.592, 3.497, -0.004, 1002.04 
0.589001, -3.575, 3.507, -0.045, 1001.84 
0.623001, -3.293, 2.998, -0.065, 1001.98 
0.658001, -2.752, 4.542, -0.376, 1001.8 
0.692001, -3.381, 3.858, -0.142, 1002.05 
0.726002, -3.129, 3.32, -0.207, 1001.8 
0.759998, -2.834, 2.658, 0.169, 1001.93 
0.793999, -2.692, 4.753, 0.127, 1001.9 
0.828999, -2.244, 4.087, 0.158, 1002.2 
0.862999, -2.258, 4.51, 0.044, 1001.93 
0.896999, -2.346, 4.426, -0.217, 1001.69 
0.931, -1.493, 5.639, 0.925, 1002.04 
0.965, -1.564, 4.911, -0.089, 1001.88 
0.999001, -1.47, 3.768, -0.023, 1001.93 
1.033, -0.971, 4.465, -1.25, 1002.02 
1.067, -1.326, 4.874, -0.782, 1001.76 
1.101, -1.26, 4.485, -0.281, 1001.8 
1.135, 0.122, 4.708, -0.688, 1002.07 
1.169, 0.584, 3.644, -0.885, 1002.09 
1.204, -0.956, 5.031, -0.696, 1001.88 
1.238, -0.66, 4.932, -0.079, 1001.78 
1.272, -0.039, 4.904, -0.604, 1001.83 
1.306, -0.041, 4.893, -0.246, 1001.9 
1.343, -0.036, 4.901, -0.343, 1001.96 
1.377, -0.035, 4.905, -0.404, 1001.84 
1.412, -0.026, 4.903, -0.377, 1001.73 
1.446, -0.032, 4.898, -0.389, 1001.88 
1.48, -0.035, 4.905, -0.39, 1001.92 
1.514, -0.042, 4.901, -0.378, 1002.08 
1.548, -0.032, 4.908, -0.378, 1001.93 
1.582, -0.039, 4.896, -0.384, 1001.8 
1.617, -0.038, 4.897, -0.376, 1001.82 
1.651, -0.032, 4.908, -0.389, 1001.9 
1.685, -0.024, 4.897, -0.384, 1001.74 
1.719, -0.035, 4.914, -0.38, 1001.74 
1.753, -0.036, 4.906, -0.379, 1001.94 
1.788, -0.038, 4.896, -0.382, 1001.95 
1.822, -0.035, 4.895, -0.379, 1001.9 
1.856, -0.025, 4.897, -0.388, 1001.85 
1.89, -0.042, 4.903, -0.379, 1001.99 
1.924, -0.029, 4.902, -0.382, 1001.94 
1.958, -0.031, 4.899, -0.386, 1001.82 
1.993, -0.036, 4.901, -0.386, 1001.75 
2.027, -0.032, 4.897, -0.385, 1001.94 
2.06, -0.038, 4.901, -0.389, 1001.89 
2.094, -0.039, 4.891, -0.373, 1001.81 
2.128, -0.031, 4.901, -0.388, 1001.75 
2.163, -0.03, 4.903, -0.382, 1001.99 
2.197, -0.025, 4.896, -0.38, 1001.72 
2.231, -0.033, 4.902, -0.385, 1001.96 
2.265, -0.032, 4.902, -0.376, 1001.71 
2.299, -0.043, 4.901, -0.379, 1001.88 
2.333, -0.041, 4.912, -0.388, 1001.95 
2.368, -0.033, 4.905, -0.382, 1002.22 
2.402, -0.037, 4.909, -0.382, 1001.91 
2.436, -0.036, 4.901, -0.379, 1001.97 
2.47, -0.032, 4.897, -0.388, 1002.1 
2.503, -0.035, 4.902, -0.384, 1001.88 
2.539, -0.044, 4.899, -0.386, 1001.9 
2.573, -0.047, 4.901, -0.386, 1001.84 
2.61, -0.035, 4.893, -0.386, 1002.07 
2.644, -0.038, 4.899, -0.396, 1001.78 
2.678, -0.038, 4.906, -0.401, 1001.91 
2.712, -0.024, 4.902, -0.384, 1001.96 
2.747, -0.028, 4.895, -0.386, 1001.61 
2.781, -0.038, 4.896, -0.388, 1001.96 
2.815, -0.039, 4.896, -0.396, 1001.95 
2.849, -0.039, 4.896, -0.371, 1002.12 
2.883, -0.026, 4.906, -0.386, 1001.8 
2.917, -0.035, 4.905, -0.384, 1002.0 
2.952, -0.032, 4.885, -0.368, 1001.97 
2.986, -0.037, 4.954, -0.409, 1002.0 
3.02, -0.044, 4.887, -0.374, 1001.91 
3.053, -0.036, 4.879, -0.394, 1001.7 
3.088, -0.03, 4.892, -0.379, 1002.04 
3.122, -0.035, 4.904, -0.389, 1001.92 
3.156, -0.045, 4.903, -0.376, 1001.77 
3.19, -0.03, 4.896, -0.368, 1001.73 
